sn,log_hm,z,zerr,mB,mBerr,x1,x1err,x2,x2err,cov_mB_x1,cov_mB_x2,cov_x1_x2,is_log_mass_g_10
11,11.764,0.3812,0.001,23.17593206359163,0.0603212121792042,-0.3277157063578373,0.09469207076434,0.1354242460878336,0.1479379371574322,-0.0052688492216224,0.0013596308884714,-0.000504897162485,1.0
34,8.938,0.2534,0.001,20.74786947318506,0.0406436676697716,0.1640097680308324,0.0260622382196489,-0.1463779866005554,0.1550227326613465,-0.0006360353317734,0.0043813835187754,0.0004153449670021,0.0
142,11.713,0.4365,0.001,22.88796142618338,0.0410963462987636,-0.0018307461138254,0.0876861633221976,0.1003839691999834,0.0890554796251292,-0.0030251621764598,-0.0018895288525969,0.0043153756902078,1.0
190,9.799,0.1023,0.001,19.357669349430907,0.0077299502331061,-0.0328948048986161,0.0086617473938333,0.0011061403375405,0.0123490458063632,-6.16823567689977e-05,-7.259558288215174e-05,9.000586979054767e-05,0.0
199,10.475,0.3712,0.001,21.81540725534383,0.0154047230218963,0.150731480903188,0.0196862638542114,-0.0445456579872434,0.0308358224773275,-0.0002570864980777,5.627983920977662e-05,2.09694036705068e-05,1.0
215,8.707,0.4661,0.001,22.479899720680358,0.0469785605587229,0.2313482741241151,0.0898361279192402,0.0281079585558626,0.1012026317178064,-0.0039035922100253,-0.0040897387230375,0.0079563879858073,0.0
236,10.902,0.1959,0.001,20.381856481472973,0.0247284952003407,0.1320615296454599,0.0238217130962215,0.0518529633466648,0.0243971912331372,-0.0005632314536955,-0.0003237512759737,0.0003602596383636,1.0
420,9.742,0.3112,0.001,21.82060304506288,0.0309729584438944,0.1037974022345672,0.0372108389592877,0.1340348358786071,0.0534940606931241,-0.0010132942514527,-0.0006697067926329,0.0006962764430111,0.0
20027,10.748,0.1098,0.001,19.5102932701946,0.0107879132711956,-0.0808095622397032,0.0130658808941846,-0.0795892241798984,0.019829027375309,-0.0001114111412528,4.9516355747457446e-06,7.505029227702614e-05,1.0
20096,9.059,0.2255,0.001,20.87899210371932,0.0649540759181326,0.0138516804037151,0.0721451083721242,0.0592761309385785,0.0796993849043681,-0.0044808435891229,-0.0034800025086117,0.0041131643560217,0.0
20176,8.7022,0.2604,0.001,21.00266540381449,0.0387647140484547,0.0936863703504222,0.0420195851490408,-0.0942211397082308,0.0494344035990155,-0.001522064370617,0.0003444580219329,-0.0001340914335885,0.0
