sn,log_hm,z,zerr,mB,mBerr,x1,x1err,x2,x2err,cov_mB_x1,cov_mB_x2,cov_x1_x2,is_log_mass_g_10
2008ar,10.408,0.0273902639747,0.0,16.246677081389542,0.0288640326428565,0.0311098637100823,0.0659508886369406,-0.0389087015573605,0.0265071476663683,4.84811940587433e-05,0.0006752062791207,-0.0001175918617306,1.0
2008by,8.568,0.0458415560424,0.0,17.098155538829367,0.080111544906757,0.4957976465935997,0.2882212264388457,-0.1506844517689818,0.0345002705887638,0.0033104862572576,0.0019941473495122,0.0014990298069063,0.0
2008bz,11.031,0.0614346414804,0.0,17.91038375728207,0.0513002986393856,0.079272279889672,0.3454585629292393,-0.107625801726651,0.0353866865835541,-0.0065174619459032,0.0014483141821625,-0.0020462668357859,1.0
2008cf,5.0,0.0469273999333,0.0,17.008629977262768,0.0318026439450809,1.3976216807677204,0.4293921470926809,-0.1138425906143943,0.02934726037123,-0.0027453599752323,0.0007915861410174,-0.0011955624869433,0.0
2008ds,10.316,0.0199417900294,0.0,15.323514605317216,0.1138573343037962,1.393958202442413,0.428534779455244,-0.06517233212043,0.0620320874767287,0.0371606242256269,0.0066962885306511,0.0183497412197307,1.0
2008fr,8.896,0.0395896881819,0.0,16.805097107832708,0.032834513700221,0.5633240171789088,0.1075897213026119,-0.092677414502292,0.028189955444463,-0.0007540914865907,0.0007786780111709,-0.0006502936067487,0.0
2008gb,10.268,0.0364040955901,0.0,16.998913132730124,0.03507033711609,0.1000124644956492,0.247984307795764,-0.0175028049380558,0.0302631825438824,-0.0020116807696356,0.0009039588654722,-0.0011453138084839,1.0
2008gl,11.125,0.0329675003886,0.0,16.814639060425375,0.0302511690904123,-1.4486401039688706,0.0929255261701834,-0.0133785306781078,0.0281490564609212,0.0002904753819167,0.0007358679067625,-0.0001203246853579,1.0
2009D,10.285,0.0246628429741,0.0,15.733673716423354,0.0347597255177805,0.4735614889008022,0.1122034989049087,-0.044536926118051,0.0285818564094637,-0.0003729565979338,0.0008744161915321,-0.0002041452336466,1.0
2009ad,11.016,0.0283352248371,0.0,16.145041014545978,0.029611311426426,0.1880185641956034,0.0697813805154336,-0.0607969832145685,0.0267890709755719,0.0001682289088428,0.0006965602649363,-7.972057219794245e-05,1.0
2009an,10.953,0.00930773187429,0.0,14.52482540648124,0.0340722115548288,-1.378536648582949,0.095231984283979,0.0425055764488403,0.0292071268482062,0.001083494210905,0.0008857365325619,0.0006021492688644,1.0
2009ds,11.088,0.0205038152635,0.0,15.514747852066256,0.0359816867043288,0.5373877744795138,0.1269981572625658,-0.0317801594330512,0.030219308854967,0.0004794732790342,0.0009530522747312,-0.0002755949579878,1.0
2008050,5.0,0.0470199026167,0.0,17.162454530781524,0.0393654856129804,1.0962732699483506,0.3889755642023075,0.0194449439027608,0.0331766020886296,0.0024019499103524,0.0010817045989716,-0.0003072184665084,0.0
