sn,log_hm,z,zerr,mB,mBerr,x1,x1err,x2,x2err,cov_mB_x1,cov_mB_x2,cov_x1_x2,is_log_mass_g_10
360112,9.381,0.1806,0.01,20.08855799843636,0.0329294256119553,0.9714461758101504,0.873388608378116,-1.250207717722492,0.5662057287525267,-0.0212791180899921,-0.0032729596289055,0.3804631639560459,0.0
360140,8.834,0.2307,0.01,21.07726598106091,0.0284355684251584,0.3562530382258317,0.7426344302759325,-0.1570741125185342,0.7054448759735721,-0.0090433823449456,0.0039112510088453,0.4013504528587818,0.0
370098,10.491,0.2212,0.001,20.765332124155982,0.0347767565352559,1.0549304227153098,0.739352354526023,0.8285672317443455,0.647726903418862,-0.0106804842254002,0.0053799328198677,0.3480482327933915,1.0
370428,10.124,0.1777,0.001,20.232203175962617,0.0143226455203976,-1.7164468501185437,0.426315807548325,-1.8377770680656584,0.3036470889955617,-0.0024214398387889,0.0009427280996057,0.0932534791502383,1.0
370563,10.859,0.1852,0.001,20.353166876572303,0.0277939005700801,-0.1677476333074977,0.490362534929477,-0.5585068615054815,0.4526399057063742,-0.0036280565720369,0.008146451576656,0.1026191421343082,1.0
380378,10.364,0.2712,0.001,21.14877167555909,0.0167410083137849,0.4944733111285849,0.3947062496098318,0.1318396978124998,0.4016143898689692,-0.0014017914668137,0.003480926401318,0.0828254849244181,1.0
420159,11.338,0.1808,0.001,20.19624712490201,0.0235406290728551,-0.9157162503237484,0.502856790965248,-1.2241029495496232,0.4555775022513842,-0.0032124937152982,0.005049460868164,0.1544597759338037,1.0
420407,10.504,0.2454,0.001,21.385734276557407,0.0325091072672158,-1.2991313108989786,1.3705362560504128,-0.3165261079560058,1.6095255428957416,-0.0187317332289872,-0.0098558876024277,1.9143566634430556,1.0
420417,10.934,0.3618,0.001,21.86433764933677,0.086055879605639,0.8439447088910359,4.344109305552534,-1.072678893025398,5.570433696105218,-0.2144105417107731,-0.1744655076600076,22.36818226805529,1.0
430004,10.51,0.2318,0.001,20.81688704718229,0.02877120489679,-2.6760090382468893,1.349763193322188,-1.0858018700840928,0.6116801543948958,0.0054170265944341,0.0083384117130184,0.6357502414881059,1.0
440008,10.064,0.1466,0.001,20.1792232550803,0.0092981476158254,-1.4038624160354831,0.2381386888837662,-0.0958028124878793,0.2281651198129343,-8.921135126548732e-05,0.0010893372526663,0.0388676026247969,1.0
440042,9.028,0.1592,0.01,20.68610061385955,0.0113100092834522,-1.7674756715591449,0.3278181584287477,0.6873171408298431,0.2635105981534132,-0.0009418502629222,0.0010226707408151,0.0647891423954369,0.0
440162,11.611,0.4198,0.001,22.203408566936275,0.0460473245392331,-0.7218018320254824,2.313246097656218,-1.095414585592998,2.0958129860036525,-0.0671420715946105,-0.0341151739285288,4.158839933166434,1.0
460003,10.8761,0.1506,0.001,20.10468628496724,0.008104068396209,0.0959417912908796,0.290856173744458,0.903197596231288,0.2526385017629131,-5.8224257630197954e-05,0.0008358908174944,0.0563548525917296,1.0
460037,9.655,0.3026,0.001,21.46951844143104,0.0631592878339001,-0.0475703214301628,1.6185864977828393,-1.373636495463486,1.547065681916996,0.0157605995838544,0.0642772115361431,1.7595146463187457,0.0
470008,10.3869,0.2396,0.01,20.51871663897127,0.0403373173996654,1.47983322434938,0.7552859946866027,0.6154885048256674,0.9592879092802936,-0.0094765745130356,0.0132829280440006,0.5584009414870166,1.0
470232,9.737,0.2006,0.01,20.686434066293792,0.0132696917606199,-0.9053339778905072,0.3019716610924151,-1.1014656364444193,0.2600418882327237,0.000368458471891,0.0023295256093885,0.0538960964051206,0.0
470244,9.115,0.3606,0.01,22.09256988530704,0.0256541485785953,2.197536002144599,0.939805446951692,1.3171807759072358,1.241208606339975,-0.0079655616858635,0.0026845186359718,0.9788795509973048,0.0
480064,8.867,0.2426,0.001,21.676646916142616,0.0411368758667847,-1.0367883869921946,0.7519286106122786,0.4704942258690536,0.8776344700442303,-0.0133526525630581,0.0148656074614666,0.3954453697756496,0.0
480464,10.917,0.2212,0.01,20.6492196352965,0.0188696959500888,-0.8951467900267945,0.4479832562451652,-1.600723245148565,0.3985822783676744,-0.0003301423692069,0.004658593654223,0.1091634032163847,1.0
490008,9.43,0.1206,0.01,19.303499988831422,0.0080030903729373,-0.3124924765842464,0.3038018780976831,-0.6815741167739711,0.2967852257366976,-0.0005962252284088,0.000256700380085,0.0815521781103039,0.0
500057,9.102,0.3804,0.01,21.871009528926464,0.0250057093168294,1.1555279524589956,0.913513052038725,-1.5002663654400827,1.2028358562794463,-0.0074798869219119,0.0017203282637745,0.9358405998719882,0.0
500100,10.898,0.3106,0.01,21.881803997751348,0.0541803877311938,-0.4961041118661237,1.3340096175645977,-0.1030030544584659,1.7740765592468482,-0.0014675405667622,0.06542964790592,1.6090588313831178,1.0
500504,11.075,0.1994,0.001,20.991485880313483,0.0553608985147953,-2.7547451228466,1.5601489961412864,0.9508779554978714,1.7834687650476893,-0.0019977444173559,0.0547654493976568,2.144523433268326,1.0
510251,11.654,0.24,0.01,21.507743260990416,0.041799684937242,-1.163016733564196,1.0306588380312938,1.4324466381289434,1.3147951465391865,-0.0048799074860956,0.0314558803357568,0.9321705646493936,1.0
510457,8.9025,0.5027,0.001,23.0427780325666,0.0701876227956082,0.977824176890136,2.4518051961158425,0.6975764708427004,2.434899124951029,0.103517784834073,0.1107862878919354,3.9580372495733904,0.0
510578,9.8142,0.3701,0.01,21.88313665908815,0.0214890328819052,1.1882586481105424,0.6836996356679592,-0.4942083860609045,0.8496531245065048,-0.0047306305228058,0.0009559358190955,0.4042231296281279,0.0
510638,8.6546,0.27,0.01,21.348381373031987,0.0154583720238789,0.5523835243206456,0.4466760674758369,0.0589655652345494,0.3620101649183706,-0.000832438517993,0.0022256504505576,0.1019949466806313,0.0
520062,10.6357,0.308,0.001,21.947229533036825,0.0294271077537889,0.1711408086914846,0.9334809570247526,1.2164702610426652,0.866819641428956,-0.0034002539908886,0.0109733977780081,0.5731925892294495,1.0
520077,11.3931,0.25,0.01,21.693876508727428,0.066940002928298,-2.5381170963514195,1.956077736184649,0.3504299671644414,2.060054173851253,-0.0457506840015002,0.0247601254967968,3.2448092604709373,1.0
520188,8.406,0.2804,0.001,21.128363835433667,0.019857186480514,1.9331615217547664,0.4957401458820654,-0.2097343026147562,0.595546024010041,-0.0025421275594687,0.0041362482624608,0.2125142231873338,0.0
530112,10.678,0.3148,0.001,22.02492445442184,0.028278196201122,-0.817040664315599,1.106429318494387,-1.1648333804457902,1.157453410444127,0.0077761377683341,0.0160377366658878,1.027577060059346,1.0
550041,7.4,0.2588,0.01,20.893673221879794,0.0306419210949759,0.1548693688363827,0.6967893411194144,-1.7220082146987017,0.5978380492671714,-0.0132246767787352,-0.0015062843835748,0.3140093401109237,0.0
550154,10.582,0.2102,0.001,20.78694101899156,0.0327519665564319,-0.131723328815375,0.7026557595342872,-1.152361737341498,0.6195130492332557,-0.0081964645800931,0.0103445741814693,0.2428144250236103,1.0
560121,8.461,0.3652,0.001,22.39241143896117,0.0531828366241117,-1.8108586873429309,2.2229629488809266,-1.0827965075605248,2.8033702008871377,-0.0638014218145733,-0.0255930875766745,5.348646576406956,0.0
560152,11.416,0.2488,0.01,21.052175367213444,0.2140813467994827,0.7413880851275008,0.8922084577028419,-0.2353500956762388,4.177960006923434,0.0870843197346048,0.8704278290659316,2.333689977883617,1.0
570062,9.219,0.1238,0.001,19.53106938784257,0.0115423756995248,0.4683680315482337,0.4488958445062184,-0.1899084618753591,0.4882139420262817,0.0003207359794872,0.0020920953462287,0.2017661415365818,0.0
580235,9.2832,0.3312,0.01,22.035639856214267,0.0395869979399901,-0.8916097878673681,1.2549210523839875,1.1107115812127932,1.2807388845100025,0.0105987503148477,0.0367494482415271,1.0837993935719352,0.0
