SNNAME SURVEY Z ZERR T0 T0ERR X0 X0ERR X1 X1ERR X2/C X2/CERR COV_X0_X1 COV_X0_X2/C COV_X1_X2/C CHISQ/NDOF MODEL mB mBERR COV_mB_X1 COV_mB_X2/C
744 SDSS 0.12694 1.4e-05 53614.094636325615 0.5519297995233501 2.3927839571764564e-05 8.155727699307602e-07 -1.4060314843177997 0.5896692280146777 -0.789673645105903 0.36350498259797936 3.122369674378607e-07 5.1264987037934386e-08 0.16583732286596986 2.240491360665728 EXP_PCA 19.61774127941892 0.03700697178585261 -0.014167889206813602 -0.0023261712490425606
1112 SDSS 0.256085 2.7e-05 53630.3275716895 1.1266763340536272 3.3702854487635713e-06 1.65385846521169e-06 0.30204995766203485 2.9259379179730205 9.675808155115465 17.638781483215006 -1.1852947481226621e-06 -2.8615949921231406e-05 20.68782294762193 0.7200892746972595 EXP_PCA 21.745833286714145 0.5327898899141621 0.3818422625948681 9.218617632053881
1241 SDSS 0.088477 1.5e-05 53635.3272518875 0.1051479249545082 4.166855154245662e-05 2.935939660149153e-07 -1.2973179511523159 0.3302602778301869 0.66305717887876 0.3136543932818339 -9.051727830003558e-09 -1.9348952348355258e-08 0.08448973896140066 0.8929737269490647 EXP_PCA 19.015478989920624 0.007650028297147 0.0002358562574616481 0.0005041657871727066
1371 SDSS 0.117969 2.6e-05 53633.175318784175 0.11136533376702573 4.563628566482718e-05 2.769795267181297e-07 0.9159962775925226 0.23755965652298588 -0.44723741479341744 0.2271148517070217 3.586799773079717e-09 -7.75184755565554e-09 0.04600892411782183 3.389795947711977 EXP_PCA 18.916724275057945 0.006589640146073966 -8.533381532082754e-05 0.0001844247712610794
1580 SDSS 0.183217 0.005 53633.95830361675 0.3153237430669833 1.5763142213255245e-05 3.788077711513858e-07 0.44065294733598565 1.1054180714963746 -0.9342049063999676 0.9912298898269195 2.6582015421287703e-08 -1.2224678309234197e-07 0.9554193042624787 0.41330034646835095 EXP_PCA 20.07089301567978 0.026091581628753014 -0.0018309202662690999 0.008420133278183504
1794 SDSS 0.1407 6.3e-05 53624.76364143211 0.7046972044699942 1.9698405892696478e-05 9.88460806748268e-07 0.273971953504708 0.9309795624167604 -0.6779911029868887 0.4979197135676774 7.824728817820474e-07 1.1493790446174767e-07 0.30119384491449225 0.47621816560231756 EXP_PCA 19.828922295004347 0.054481956089093155 -0.043128319195980494 -0.006335144318425242
2031 SDSS 0.151859 0.0005 53636.7086470564 1.4618344721384346e-05 2.372624399316338e-05 3.912933076745122e-07 0.028012721440064364 0.5111218686700698 -0.7486730527192046 0.45461479484206674 7.803901319287975e-08 -2.2899496641254043e-08 0.177772799923886 3.912380807234096 EXP_PCA 19.626927519411534 0.0179059656869497 -0.0035711418137452096 0.0010479034347497572
2102 SDSS 0.094009 0.0005 53620.94903172154 0.27308728395291837 6.632096801519146e-05 9.014237116848148e-07 0.2325959481581004 0.26676239240579336 -1.4807808666307432 0.1739836805234229 1.4652862244199826e-07 3.4429228429941606e-08 0.03908830580033921 2.810996748259758 EXP_PCA 18.51087285871578 0.014757148287996562 -0.002398810439289286 -0.0005636386338587971
2165 SDSS 0.286619 0.005 53634.80447183503 1.7162217462719127 4.298247336694128e-06 4.239443057439278e-07 3.8813303773810603 3.765228518433729 2.6802274023414814 5.78189264481659 -1.1131893904270573e-06 -2.1303325530969514e-06 20.530034968187223 0.2270976275668575 EXP_PCA 21.481771493126566 0.10708822584910906 0.28119136226089575 0.5381214713556111
2422 SDSS 0.263492 0.005 53638.93119092661 0.0002459355309838429 6.880072537882719e-06 2.783363017804878e-07 -0.5606501213613241 0.9577951584452455 -3.367688996361653 1.3054259219575877 -1.0897330185219676e-08 -2.0295727877770291e-07 0.8922905150522286 1.0294214433670212 EXP_PCA 20.9710174572324 0.043923926423391976 0.0017196949381201867 0.03202845091745996
2635 SDSS 0.143104 0.0005 53638.85950573744 7.338754221564159e-05 2.3038336338314962e-05 3.997823693506219e-07 -0.19403971205583692 0.45938017637571416 -0.9639771621373805 0.3854532424069041 1.0365613939229067e-07 4.059225270486339e-09 0.13363409109611415 2.36428312974848 EXP_PCA 19.658872214291385 0.018840691708544795 -0.0048850412517198625 -0.00019130061193292216
2689 SDSS 0.160352 4.6e-05 53638.1846095284 0.3489203296267078 1.895156140117216e-05 3.7586563155274757e-07 4.784949787861306 0.6245257925450766 2.58577817506023 0.5764634493411425 2.9444808316539533e-08 -6.66462808153161e-08 0.2848881073393702 1.584606549941852 EXP_PCA 19.870887507778292 0.021533366864212942 -0.0016868950138036083 0.0038181698310720898
2916 SDSS 0.12303 0.0005 53643.69908118057 0.16200838490840397 1.8267336628726538e-05 2.643137001171558e-07 -2.2119776198333767 0.5278825172070922 0.7880026352092457 0.4145624059994958 3.278455997345643e-08 -6.3676137465481294e-09 0.16529359614645994 2.2052806897025063 EXP_PCA 19.910811920037585 0.01570973149854221 -0.0019485809258187033 0.0003784650670788466
2992 SDSS 0.126077 1.7e-05 53640.26632741262 0.31627350449343794 1.7922252505196608e-05 3.149440655503535e-07 -1.2494177561199244 0.5403524779520159 1.6352685251086978 0.49903212610778336 6.748217454958001e-08 -2.6710517509756883e-08 0.19672339517250018 1.2945260554024487 EXP_PCA 19.93151852057138 0.019079419528465417 -0.0040880932830871805 0.00161813231343327
3080 SDSS 0.173146 2.4e-05 53647.06309302495 3.9071892388165e-09 1.44856905058374e-05 3.204777078273813e-07 -1.074101156513091 0.7276310667255789 -0.42158655930426053 0.6229721456192345 5.931297503730544e-08 -8.109311356452877e-08 0.30656102801611246 0.784124748403705 EXP_PCA 20.16265199489798 0.02402054980160374 -0.0044456454722656595 0.006078117526954691
3087 SDSS 0.164306 1.5e-05 53648.7534917652 0.20540051006901194 1.5772447347449998e-05 3.5717485817560905e-07 -0.8254478670126967 0.6320824186059544 -0.6724510722799626 0.49115792600653607 8.02708893567894e-08 -7.878060553179302e-08 0.16947663712257485 1.138376426582347 EXP_PCA 20.070252284270012 0.02458703246286671 -0.005525649180682837 0.005423061733819329
3317 SDSS 0.159901 3e-05 53645.92853417298 0.22667970994734787 1.2661247554546733e-05 3.396951973547723e-07 0.061936237433657206 0.8273081803871781 2.534631740855994 0.6658360035069304 1.0825389032101593e-07 -8.834533952100376e-08 0.32001884312020895 1.0683543613335593 EXP_PCA 20.30880874935083 0.029129781465973226 -0.00928306373610356 0.00757585168652339
3451 SDSS 0.248351 3.9e-05 53644.45923321059 0.5167619919338904 8.055950093638917e-06 2.458240945416489e-07 -0.4668393410813172 1.1129953395198924 -1.1678515191589203 1.081552486761996 3.227263682096419e-08 -8.793964573001381e-08 0.8965209882575967 1.2162456983520975 EXP_PCA 20.799708082217393 0.03313080596868411 -0.004349526724004761 0.011852016967939178
4046 SDSS 0.275441 0.005 53646.211177182806 0.8345138236945786 4.978919618472412e-06 2.986770445185067e-07 -0.7789849231485111 2.0405572840226855 -0.4785714218912181 2.9624615283142424 -1.1407511972237262e-07 -5.742735408846092e-07 4.697069624100296 0.8086786874913351 EXP_PCA 21.322162212698412 0.06513149550773276 0.02487597652413966 0.1252298937423633
4241 SDSS 0.330513 0.0005 53634.71562872307 2.613365720408183 3.8578039909421116e-06 4.548045442990205e-07 -10.591530452732705 11.444043369319086 -14.572773473756646 13.37084213208934 -3.033697601562959e-06 -4.2589258996729465e-06 150.26419463149261 1.0128171265228096 EXP_PCA 21.599149604907346 0.12799970164201607 0.8538005891534245 1.1986275232007748
4679 SDSS 0.331035 0.0005 53648.62899137658 2.3703618258186907 4.47588752304237e-06 4.107780936890619e-07 -5.247664357419875 3.2759406912080578 -14.92667131034098 3.886540556531336 -4.5536167272261794e-07 -1.1233872328864759e-06 7.366372028399239 2.069411114619752 EXP_PCA 21.43780208905884 0.09964429314715814 0.11045913280638277 0.27250510305022996
5103 SDSS 0.160592 1e-05 53655.20735903518 0.3199771610015887 1.4184598955903067e-05 3.8135448904793247e-07 0.0787239328312838 0.6027922437802935 -0.23797624388520974 0.5208394070506486 8.059885218665336e-08 -1.0109036932616776e-07 0.15296550238002843 0.8509660935321282 EXP_PCA 20.185457346480415 0.029190136209953726 -0.006169303210689696 0.007737791831196914
5533 SDSS 0.218868 1.8e-05 53667.355407370575 1.7171259969472885e-09 7.534584996192215e-06 5.091707954701592e-07 -1.2392653128647597 1.471106616966245 -3.3539151555902333 1.986241791500301 -2.1496174322545533e-07 -7.882211810025382e-07 2.3494115080785876 1.0092702369133089 EXP_PCA 20.87235165891326 0.07337168103177973 0.030976058717998085 0.11358293442892554
5549 SDSS 0.119914 1.9e-05 53665.51305271672 1.964508555829525e-10 2.6742553405698887e-05 1.46194227264406e-07 -1.0605408932173803 0.21816064863033496 -0.7254891299629732 0.21653793031475815 3.741970017558042e-09 -3.040503383796362e-09 0.04042033030402634 2.1104577047124753 EXP_PCA 19.49699282055882 0.005935422959042435 -0.00015192237867295017 0.00012344313403423265
5635 SDSS 0.178391 7e-05 53661.29289298338 0.48724899289300083 7.754325894973518e-06 5.496650264188054e-07 -2.5118892318777846 1.7055730834962306 -0.5535716695838659 1.4718850573663687 4.146731109885764e-07 -4.295183467130119e-07 1.1498685943987663 1.189460601030598 EXP_PCA 20.8411398765789 0.07696235981764459 -0.05806121845250626 0.06013980144121407
5957 SDSS 0.279228 2.4e-05 53668.14247778736 0.00012638326734304428 5.209708359136997e-06 3.668982607716535e-07 1.3612572375964687 1.4089336123422693 -1.2614969104804536 2.7449058886361484 -1.9185814484557088e-07 -8.180722507480637e-07 3.035938386939507 0.8998640009685072 EXP_PCA 21.27296646985225 0.07646392038124801 0.03998445204158651 0.17049143627922353
5994 SDSS 0.185813 0.005 53665.133002117596 0.4260831005849468 1.3119899673712762e-05 4.041499133075433e-07 -0.7996000367655346 1.0914134016644197 -2.2790250628632576 0.8777416562541536 8.231191150571955e-08 -1.328627423933333e-07 0.7132425297615672 0.6001133473675764 EXP_PCA 20.270173714862693 0.03344539241462693 -0.006811715381000065 0.01099504518078931
6057 SDSS 0.066511 9e-06 53663.65667034428 0.08016535726710572 6.664174939690955e-05 3.8791464561842193e-07 -0.6475079865273 0.28424901128438235 1.6054987068558797 0.25906157648551553 -5.7481864343039785e-09 -3.777274364662351e-08 0.06276374926867466 2.7582338503887764 EXP_PCA 18.505634027222996 0.006319956767572067 9.365021446620051e-05 0.0006153985407245119
6108 SDSS 0.257998 0.0005 53673.904496521776 1.0038354651769623 4.079195136863684e-06 8.073348861923404e-07 0.3494487642711994 1.853894556217964 4.46142167401616 5.982276341307704 -2.637084234087404e-07 -4.546757347723807e-06 5.213646369021273 0.3376585798917725 EXP_PCA 21.53856379699406 0.21488374198672228 0.07018977351858019 1.2101845832433766
6196 SDSS 0.2798 5.5e-05 53669.04915015498 0.98972039381988 4.5575430488805774e-06 4.291059028594681e-07 -1.1225752427746796 2.477526654685933 -1.9402899706754757 3.620959336403414 -1.1975110586007145e-08 -1.0213477452359372e-06 6.491683364908423 0.9220131220668083 EXP_PCA 21.418173051167933 0.10222521420272326 0.0028528114775358622 0.2433140428422526
6315 SDSS 0.265764 0.0005 53677.50401350228 0.7162425096721563 7.384100833751838e-06 4.3485117073361043e-07 2.1195843290711944 1.214647684657776 1.641237344787125 2.1343773854948904 -1.1588674502908064e-07 -7.152089001910425e-07 1.871442045371451 0.5627804235131609 EXP_PCA 20.89425595355943 0.06393922162992051 0.017039642004145962 0.10516218756835514
